#fields:  name;RG;dataNascimento
Tammy Lawrence;402750779;1998-10-05
Lilian Cline;629825901;1931-02-10
Mosley Solis;207143692;1987-12-20
Lavonne Francis;851716633;2004-10-23
Cochran Rivera;872206213;1961-07-04
Ramirez Ellison;788448183;1981-02-07
Ashley Reyes;67189130;2001-05-11
Eleanor Salas;611572672;1929-07-19
Staci Bridges;672095675;2009-02-22
Katelyn Gaines;591927213;1978-04-25
Mamie Glass;848437364;1928-10-15
Angelita Hartman;683588992;1918-02-15
Valenzuela Meadows;871915082;1960-10-04
Berg Dalton;921956882;1930-08-06
Ortega Olsen;551189555;2010-12-15
Bright Mcclain;93092683;2000-11-06
Kelli Schneider;232469722;1960-02-16
Jaime Browning;239602085;1996-03-16
Irma Singleton;46462923;1997-12-01
Nichole Chase;944719781;1952-09-12
Madeline Mccarthy;334159711;1924-02-18
Neal Mullins;579813247;2009-01-30
Raquel Stewart;542073424;2004-03-31
Forbes Rhodes;890522150;1938-07-18
Guadalupe Donaldson;201505609;1930-02-09
Vera Price;17103329;1992-08-26
Murray Norton;559682753;1940-10-03
Chaney Ortiz;750611051;1986-04-15
Good Cohen;636113909;1986-03-21
Brewer Jensen;202374020;1915-07-13
Dianna Bonner;785190208;1997-07-08
Rachael Moss;917859777;1918-01-24
Ginger Schmidt;646311379;1993-12-23
Roberts Aguirre;531879685;1929-11-03
Latoya Curtis;682237945;1941-03-28
Burnett Odonnell;565074440;1925-09-11
Carolyn Harris;464473159;1985-06-21
Jacquelyn Tillman;624737926;1925-08-09
Beatrice Vance;722054247;1995-05-10
Nona Gentry;810646623;1947-03-20
Cortez Salazar;748836494;1937-08-07
Darlene Frazier;169234812;1962-06-29
Spence Bright;547185189;1935-09-06
Glenna Lambert;854625293;1968-03-21
Lupe Tate;618325674;1960-06-20
Burt Garrett;771831365;1967-02-28
Blevins Maynard;295458149;1957-04-21
Monique House;649787364;1969-01-04
Holly Langley;195417456;1959-02-02
Ruth Sanford;253053977;1957-12-09
Brenda Lamb;705184317;1916-06-21
Henderson Kline;972048539;1920-12-04
Krystal Emerson;336948304;1963-08-25
Mcdonald Frank;836347222;1942-04-17
Ella Dyer;477337975;1961-06-27
Marsha Clayton;754034460;2015-10-05
Kerry Jefferson;193805482;2011-10-06
Delgado Jennings;946282187;1930-04-09
Charles George;688850995;1924-09-08
Myers Hubbard;264031943;2001-02-14
Cheryl Pennington;170853914;1948-04-25
Richmond Pearson;754245558;1953-12-15
Ruby Fry;860229792;1935-03-03
Eve Burns;166057117;1964-08-13
Dorothy Beasley;772028370;1924-04-02
Kris Castillo;317287335;2008-09-07
Maureen Irwin;525839646;1974-12-14
Young Nolan;649413117;1997-10-20
Valeria Pope;679868462;2003-11-12
Pickett Carr;32775047;1930-06-24
Traci Dawson;898207739;1967-07-27
Pansy Beard;698465453;1989-01-14
Aileen Workman;257889136;1927-02-17
Murphy Wilkinson;253491785;2002-11-11
Sue Curry;418371549;1978-06-28
Anne Howell;170436281;1976-10-05
Justice Morrow;483464138;1923-02-02
Pearl Hull;238823312;1989-03-15
Alexandra Marquez;639643172;1916-09-07
Kasey Cantrell;670411365;1990-10-13
Sullivan Farmer;89553392;1924-06-24
Cheri Tanner;167306233;1969-11-15
Mclaughlin Travis;53172639;1958-05-11
Henrietta Spears;249464964;1966-01-23
Paul Baker;436626776;1945-11-22
Cooley Pace;711855021;1969-05-19
Victoria Meyers;42175009;1983-08-08
Earline Buchanan;692437003;1967-06-20
Yesenia Knapp;368328353;1924-04-12
Justine Coffey;664649270;1972-05-08
Karla Melendez;255036110;1964-08-29
Spears Fowler;662846579;1931-05-21
Sharpe Stokes;966384214;1992-08-22
Keith Hogan;302346416;1931-04-03
Davis Daniel;207730714;2004-02-25
Stacey Gardner;133492074;1954-09-30
Wendi Giles;797185202;1915-05-19
Jeannette Mcfadden;619586288;1976-09-21
Meadows Stuart;952474575;1933-01-28
Lee Herrera;467075215;1958-08-12
Winnie Sheppard;841373570;1990-11-15
Pratt Parks;197274547;2000-10-12
Celeste Gillespie;131288333;1992-01-15
Ross Buckner;131690911;1928-09-19
Stokes Aguilar;911027721;1934-04-05
Esmeralda Pugh;331071416;1954-06-19
Barron Reese;667176556;1957-09-10
Felecia Love;376048263;1978-10-19
Angelica Pena;899674157;1975-06-27
Joan Schwartz;145870090;1990-01-09
Kemp Harrell;796118789;1936-06-06
Hale Oneil;277630602;1978-03-30
Frederick Mccarty;750359072;1976-04-15
Tami Hayes;701425811;1970-09-30
Sheppard Vargas;990032443;1955-10-10
Greer Peck;339263723;2015-12-16
Terry Roy;519583799;1984-03-10
Merritt Berger;636692275;1957-02-22
Ashley England;714898908;1919-12-17
Fischer Alexander;334541061;1968-06-04
Lott Shelton;381649454;1937-10-04
Carey Church;618836268;1969-01-04
Schneider Knight;767744219;1954-11-27
Strickland Ware;312253451;1938-07-03
Ester Newton;852265731;1997-10-13
Donna Holman;840734413;1959-01-21
Long Beach;246134463;1927-01-21
Flora Ryan;620188294;1966-10-24
Gloria Barry;915156595;2002-10-22
Georgette Cotton;972407469;1997-11-04
Gibson Fletcher;952284418;1929-06-30
Lillie Klein;467599150;1947-11-18
Marylou Benjamin;102443512;1997-08-14
Key Vega;374318741;2008-10-18
Rosalinda Barrera;284383444;1952-11-27
Potter Horton;921701870;1995-06-12
Lacy Nieves;926201833;1990-11-13
Hines Grimes;991951498;1930-06-09
Blankenship Gordon;339918724;1961-05-21
Dunn Hodges;342926613;1924-07-17
Herrera Whitney;372771211;1934-03-24
Shelby Morse;193189165;1958-11-16
Twila Bryan;161219279;1934-11-16
Johnson Mcclure;63147752;1924-08-24
Holder Guy;424953779;1951-11-16
Mcfarland Mccray;837748370;1979-12-17
Shawn Foster;653557175;2006-01-11
Parker Johns;669724856;1928-01-14
Luna Petersen;864356194;1932-07-27
Farrell Parrish;177860381;1968-03-27
Marta Whitaker;843123802;1964-09-27
Brigitte Greer;494317489;1944-11-15
Jasmine Henderson;784022150;1968-01-15
Edwards Baldwin;629761034;1997-12-14
Enid Delacruz;695448944;1988-04-20
Sonia Allison;883285722;1920-08-23
Socorro Dickson;446961995;1971-01-03
Foley Barber;214732040;2008-06-03
Hurst Merrill;773749943;1949-03-27
Jennings Lawson;532254984;1951-11-07
